station_id,station_name,lat,lon,parameter,last_value,last_updated
50,"Punjabi Bagh, Delhi - DPCC",28.674045,77.131023,relativehumidity,36.0,2026-06-22T10:15:00Z
50,"Punjabi Bagh, Delhi - DPCC",28.674045,77.131023,no2,13.0,2026-06-22T10:15:00Z
50,"Punjabi Bagh, Delhi - DPCC",28.674045,77.131023,co,0.64,2026-06-22T10:15:00Z
50,"Punjabi Bagh, Delhi - DPCC",28.674045,77.131023,pm10,81.0,2026-06-22T10:15:00Z
50,"Punjabi Bagh, Delhi - DPCC",28.674045,77.131023,temperature,37.4,2026-06-22T10:15:00Z
50,"Punjabi Bagh, Delhi - DPCC",28.674045,77.131023,wind_direction,194.0,2026-06-22T10:15:00Z
50,"Punjabi Bagh, Delhi - DPCC",28.674045,77.131023,nox,0.008400000000000001,2026-06-22T10:15:00Z
50,"Punjabi Bagh, Delhi - DPCC",28.674045,77.131023,wind_speed,1.2,2026-06-22T10:15:00Z
50,"Punjabi Bagh, Delhi - DPCC",28.674045,77.131023,pm10,322.0,2018-02-21T21:15:00Z
50,"Punjabi Bagh, Delhi - DPCC",28.674045,77.131023,o3,39.07,2018-01-24T09:30:00Z
50,"Punjabi Bagh, Delhi - DPCC",28.674045,77.131023,so2,3.1,2018-02-21T21:15:00Z
50,"Punjabi Bagh, Delhi - DPCC",28.674045,77.131023,no2,92.9,2018-02-21T20:45:00Z
50,"Punjabi Bagh, Delhi - DPCC",28.674045,77.131023,co,9.2,2018-02-21T21:15:00Z
50,"Punjabi Bagh, Delhi - DPCC",28.674045,77.131023,pm25,183.0,2018-02-21T21:15:00Z
51,Wieringerwerf-Medemblikkerweg,52.803700000000006,5.05051,pm10,15.95,2026-06-22T10:00:00Z
51,Wieringerwerf-Medemblikkerweg,52.803700000000006,5.05051,o3,67.36,2026-06-22T10:00:00Z
51,Wieringerwerf-Medemblikkerweg,52.803700000000006,5.05051,no2,1.69,2026-06-22T10:00:00Z
51,Wieringerwerf-Medemblikkerweg,52.803700000000006,5.05051,pm25,-998.0,2026-06-22T10:00:00Z
51,Wieringerwerf-Medemblikkerweg,52.803700000000006,5.05051,no,0.33,2026-06-22T10:00:00Z
52,Rotterdam-Oost Sidelinge A13,51.938472000211014,4.430691999983553,pm10,10.9,2025-09-04T12:00:00Z
52,Rotterdam-Oost Sidelinge A13,51.938472000211014,4.430691999983553,no2,11.0,2025-09-04T13:00:00Z
52,Rotterdam-Oost Sidelinge A13,51.938472000211014,4.430691999983553,pm25,2.7,2025-09-04T13:00:00Z
52,Rotterdam-Oost Sidelinge A13,51.938472000211014,4.430691999983553,no,-999.0,2024-03-25T22:00:00Z
53,Shenyang,41.78,123.42,pm25,24.0,2023-08-18T12:00:00Z
54,Talagante,-33.673752071375,-70.953064737434,pm25,39.0,2026-06-22T09:00:00Z
54,Talagante,-33.673752071375,-70.953064737434,so2,0.0,2021-05-18T04:00:00Z
54,Talagante,-33.673752071375,-70.953064737434,co,0.0,2021-05-18T04:00:00Z
54,Talagante,-33.673752071375,-70.953064737434,no2,134.8,2019-12-05T17:00:00Z
54,Talagante,-33.673752071375,-70.953064737434,o3,0.0,2021-05-01T03:00:00Z
54,Talagante,-33.673752071375,-70.953064737434,pm10,61.0,2026-06-22T09:00:00Z
55,Utrecht-Kardinaal de Jongweg,52.105,5.12446,pm10,17.23,2026-06-22T10:00:00Z
55,Utrecht-Kardinaal de Jongweg,52.105,5.12446,no2,4.14,2026-06-22T10:00:00Z
55,Utrecht-Kardinaal de Jongweg,52.105,5.12446,o3,-995.0,2025-03-10T09:00:00Z
55,Utrecht-Kardinaal de Jongweg,52.105,5.12446,pm25,11.2088,2026-06-22T10:00:00Z
55,Utrecht-Kardinaal de Jongweg,52.105,5.12446,no,0.84,2026-06-22T10:00:00Z
57,"Khlong Nueng, Khlong Luang",14.040299305494,100.60873959621,pm10,31.0,2020-05-16T08:00:00Z
57,"Khlong Nueng, Khlong Luang",14.040299305494,100.60873959621,co,7.23,2018-08-27T01:00:00Z
57,"Khlong Nueng, Khlong Luang",14.040299305494,100.60873959621,no2,0.012,2020-05-16T08:00:00Z
57,"Khlong Nueng, Khlong Luang",14.040299305494,100.60873959621,so2,0.001,2020-05-16T08:00:00Z
57,"Khlong Nueng, Khlong Luang",14.040299305494,100.60873959621,o3,0.0,2020-05-12T05:00:00Z
58,Zegveld-Oude Meije,52.138,4.83819,co,-995.0,2021-04-20T21:00:00Z
58,Zegveld-Oude Meije,52.138,4.83819,o3,69.37,2026-06-22T10:00:00Z
58,Zegveld-Oude Meije,52.138,4.83819,pm10,18.51,2026-06-22T10:00:00Z
58,Zegveld-Oude Meije,52.138,4.83819,no2,5.31,2026-06-22T10:00:00Z
58,Zegveld-Oude Meije,52.138,4.83819,no,1.19,2026-06-22T10:00:00Z
59,Nisekh,47.863943,106.779094,o3,26.0,2019-03-13T22:30:00Z
59,Nisekh,47.863943,106.779094,pm10,93.0,2019-03-13T22:30:00Z
59,Nisekh,47.863943,106.779094,no2,12.0,2019-03-13T22:30:00Z
59,Nisekh,47.863943,106.779094,pm25,81.0,2019-03-13T22:30:00Z
59,Nisekh,47.863943,106.779094,co,202.0,2018-07-21T09:00:00Z
