name,state,lat,lon,population
Yechagam,Jammu and Kashmir,33.98734,74.75166,7461
Tholur,Kerala,10.57177,76.12909,7454
Ukal,Gujarat,21.23743,73.57788,7453
Tarapur,Bihar,25.09067,86.66197,7450
Sanjeli,Gujarat,23.0584,73.97024,7448
Kusmi,Chhattisgarh,23.28391,83.9083,7448
Indargarh,Rajasthan,25.72816,76.19036,7444
Marwad,Dadra and Nagar Haveli and Daman and Diu,20.43764,72.83224,7443
Vengambur,Tamil Nadu,11.10531,77.87831,7443
Gidam,Chhattisgarh,18.97431,81.39894,7440
Xeldem,Goa,15.25,74.08333,7434
Tokuru,Karnataka,12.96384,74.83803,7433
Kurkhera,Maharashtra,20.61811,80.20851,7430
Venkatapuram,Tamil Nadu,12.53441,78.20198,7430
Sirgora,Madhya Pradesh,22.20634,78.88318,7430
Sironcha,Maharashtra,18.84831,79.9638,7427
Alamadi,Tamil Nadu,13.2092,80.1097,7424
Airavadanallur,Tamil Nadu,9.90575,78.15521,7423
Gotamara,Odisha,20.85828,85.20269,7420
Kot Fatah,Punjab,30.11316,75.0867,7412
Jakhal,Haryana,29.79627,75.82392,7411
Lathikata,Odisha,22.13073,84.89008,7405
Narsingarh,Tripura,23.90967,91.25084,7404
Kandanvilai,Tamil Nadu,8.20677,77.32813,7401
Parichha,Uttar Pradesh,25.50789,78.75954,7399
Kannamangalam,Tamil Nadu,12.75211,79.14783,7399
Tumgaon,Chhattisgarh,21.19124,82.12296,7394
Saidpura,Bihar,25.5768,85.04536,7392
Sikhong Sekmai,Manipur,24.63795,94.09344,7390
Maheshlundi,Jharkhand,24.17601,86.26621,7389
Numaligarh,Assam,26.62249,93.72225,7386
Ant,Uttar Pradesh,27.44315,80.46865,7385
Nongumlong,Meghalaya,25.56436,91.8312,7381
Palakurthy,Telangana,18.71653,79.38146,7380
Jamunamukh,Assam,26.10147,92.74264,7377
Kotla Mahigiran,Delhi,28.53671,77.28066,7376
Ukwa,Madhya Pradesh,21.97102,80.46625,7369
Nagam,Jammu and Kashmir,33.92637,74.79189,7365
Manavalassery,Kerala,10.36128,76.17242,7364
Kukkudakhandi,Odisha,19.39361,84.755,7361
Kanisail Pt I,Assam,24.85509,92.37002,7358
Perumanallur,Tamil Nadu,11.20503,77.35889,7356
Asudubi,Assam,26.02316,90.66583,7356
Chinchinim,Goa,15.21447,73.97555,7355
Hat,Haryana,29.33185,76.61501,7354
Rehambal,Jammu and Kashmir,32.89755,75.06831,7351
Kainoor,Kerala,10.49909,76.27945,7344
Jiribam,Manipur,24.80427,93.12148,7343
Vadghar,Maharashtra,18.98339,73.10396,7341
Amargarh,Punjab,30.46207,76.01438,7339
Dharchula,Uttarakhand,29.84707,80.51951,7331
Vembadithalam,Tamil Nadu,11.56741,78.01095,7331
Haripur,West Bengal,22.93611,88.23194,7327
Krishnapur,West Bengal,22.67028,88.26944,7325
Ramban,Jammu and Kashmir,33.24278,75.23513,7317
Jagannathpur,Jharkhand,22.22115,85.63917,7310
Desula,Rajasthan,27.53197,76.67934,7306
Chuhal,Punjab,31.59496,75.96837,7304
Panchet,Jharkhand,23.68805,86.75736,7296
Sardarpur,Madhya Pradesh,22.66553,74.97736,7293
Silewara,Maharashtra,21.2912,79.12404,7290
Swamimalai,Tamil Nadu,10.95747,79.32931,7289
Karadipatti,Tamil Nadu,9.91811,78.02386,7289
Kismatpur,Telangana,17.33411,78.39248,7288
Gohand,Uttar Pradesh,25.69871,79.54567,7286
Uppalavadi,Tamil Nadu,11.76515,79.77645,7281
Adbhar,Chhattisgarh,21.95345,83.02475,7272
Dih,Uttar Pradesh,26.14264,81.40856,7267
Chittarkonda,Odisha,18.12533,82.1089,7260
Bhadson,Punjab,30.50666,76.24707,7260
Pandamangalam,Tamil Nadu,11.10331,77.96703,7259
Thenzawl,Mizoram,23.31667,92.75,7259
Swroop Nagar,Madhya Pradesh,23.82734,77.94193,7258
Ariyur,Tamil Nadu,12.87558,79.10339,7251
Kadma,Jharkhand,23.98735,85.34535,7239
Dornapal,Chhattisgarh,18.15514,81.50858,7238
Talipadi,Karnataka,13.06648,74.85429,7237
Khapar,Maharashtra,21.53296,73.93117,7235
Jarhi,Chhattisgarh,23.35918,83.0447,7228
Somvarpet,Karnataka,12.59698,75.84957,7227
Vijayapuri,Tamil Nadu,11.2453,77.50066,7222
Morewadi,Maharashtra,16.66241,74.25438,7222
Alandurai,Tamil Nadu,10.95322,76.79003,7221
Gopalpur,Odisha,19.25861,84.90517,7221
Khaira,Delhi,28.59417,76.97011,7220
Saragaon,Chhattisgarh,21.98651,82.75577,7216
Kharsawan,Jharkhand,22.79093,85.83102,7216
Sathamba,Gujarat,23.17051,73.32828,7213
Kudus,Maharashtra,19.53362,73.10103,7204
Perungulam,Tamil Nadu,8.64133,77.99847,7203
Talera,Rajasthan,25.31575,75.73276,7203
Nurpur,Bihar,25.42405,86.04353,7202
Jarod,Gujarat,22.43928,73.33475,7200
Hnahthial,Mizoram,22.96611,92.92966,7187
Bekobar,Jharkhand,24.41917,85.5888,7184
Sirsia,Jharkhand,24.21204,86.31311,7181
Kaiparamba,Kerala,10.60829,76.13901,7179
Gandhisagar Colony,Madhya Pradesh,24.69048,75.56679,7178
Mairabari Town,Assam,26.45357,92.42272,7177
Birpur,Jammu and Kashmir,32.66167,74.95177,7177
Mahur,Assam,25.18305,93.11342,7176
Neykuppai,Tamil Nadu,10.2214,78.53602,7165
Oinam,Manipur,24.68896,93.81292,7161
Babugarh,Uttar Pradesh,28.72353,77.84677,7156
Hathwa,Bihar,26.35535,84.29759,7156
Goregaon,Maharashtra,18.15483,73.29147,7155
Kumarpur,Jharkhand,24.68128,87.84107,7153
Pettampalaiyam,Tamil Nadu,11.3499,77.57058,7152
Taipi Duidam,Arunachal Pradesh,27.29117,96.04367,7151
Manakkody,Kerala,10.48572,76.16968,7150
Mulaguntapadu,Andhra Pradesh,15.26405,80.01956,7145
Harnai,Maharashtra,17.8134,73.09668,7144
Neemrana,Rajasthan,27.99193,76.38543,7143
Sabroom,Tripura,23.00153,91.72427,7142
Mohpa,Maharashtra,21.31012,78.82969,7140
Banbasa,Uttar Pradesh,28.99132,80.07608,7138
Moranha,Assam,27.18735,94.91557,7136
Vanavasi,Tamil Nadu,11.74996,77.88011,7130
Ghansor,Madhya Pradesh,22.65976,79.95013,7120
Bhakarsahi,Odisha,20.18552,86.01029,7110
Akaira,Haryana,28.23103,76.85081,7110
Mirjhapar,Gujarat,23.21896,69.63358,7109
Karachiya,Gujarat,22.37855,73.13276,7103
Kallettumkara,Kerala,10.34391,76.26814,7097
Upar Hali,Assam,26.10311,91.50884,7095
Sankarnagar,Tamil Nadu,8.79694,77.734,7095
Chhuikhadan,Chhattisgarh,21.52316,80.99788,7093
Bonaigarh,Odisha,21.82189,84.952,7080
Lalsingi,Odisha,19.94745,84.57111,7078
Ambaliyasan,Gujarat,23.44986,72.42333,7072
Koni,Chhattisgarh,22.12171,82.13362,7065
Chennamukkapalle,Andhra Pradesh,14.05954,78.76981,7065
Kurgahalli,Karnataka,12.35459,76.57668,7065
Badagal Ulipadi,Karnataka,12.95206,74.95815,7062
Kodiyal,Karnataka,14.51665,75.78963,7061
Palachaurai,Madhya Pradesh,22.20028,78.65918,7061
Guirim,Goa,15.57552,73.80722,7057
Mera,Jharkhand,23.7556,86.79438,7051
Kabri,Haryana,29.42784,76.93965,7049
Sarai Khas,Punjab,31.40898,75.51124,7044
Briddhanagar,Tripura,23.84452,91.35144,7041
Pal,Maharashtra,21.36176,75.90125,7041
Kuvettu,Karnataka,12.98092,75.25353,7041
Konta,Telangana,17.80492,81.38666,7038
Nagri,Madhya Pradesh,23.84771,75.14433,7034
Adyar,Karnataka,12.87033,74.92257,7034
Kujjanur,Tamil Nadu,9.87434,77.37467,7024
Kherliganj,Rajasthan,24.88078,76.66821,7022
Lohara,Chhattisgarh,21.85,81.13333,7017
Watargam,Jammu and Kashmir,34.31944,74.37361,7015
Batarashi,Assam,24.86936,92.33494,7001
Inda Chhoi,Haryana,29.64042,75.79041,7000
Khamharia,Chhattisgarh,20.976,82.25116,6998
Daringbarhi,Odisha,19.90703,84.12408,6995
Khan Pur Dhani,Delhi,28.70997,77.28301,6994
Chittilapilli,Kerala,10.5657,76.15268,6988
Ayyanur Teppakkuttai,Tamil Nadu,11.596,77.98388,6986
Ghanaur,Punjab,30.33092,76.61203,6985
Barhagarh,Odisha,19.64503,84.40791,6982
Panaikulam,Tamil Nadu,9.37565,78.95402,6980
Ray,Jharkhand,23.6843,85.05457,6977
Tarapur VII,Assam,24.81308,92.78224,6977
Umbergaon INA,Gujarat,20.16915,72.77502,6976
Malpur,Gujarat,23.36035,73.46595,6971
Tilodih,Jharkhand,24.21181,86.24736,6970
Nanguneri,Tamil Nadu,8.49326,77.65806,6969
Borio,Jharkhand,25.03443,87.59252,6964
Uttar Krishnapur Part-I,Assam,24.79064,92.7934,6960
Adri,Gujarat,20.96591,70.28857,6952
Borlai Panchaitan,Maharashtra,18.17005,73.00439,6952
Chatrapatti,Tamil Nadu,9.34483,77.9206,6948
Hariharpur,Jharkhand,23.88884,86.13065,6938
Badh Malak,Haryana,28.91981,77.09577,6938
Antaliya,Gujarat,20.76532,72.99066,6936
Khore,Jammu and Kashmir,32.8226,74.51129,6931
Gudari,Odisha,19.34762,83.78128,6931
Sunderbani,Jammu and Kashmir,33.04841,74.48846,6930
Venkatapura,Karnataka,14.03213,74.53329,6928
Saria,Chhattisgarh,21.64009,83.36311,6927
Risama,Maharashtra,21.36453,80.37108,6925
Bijepur,Odisha,21.18926,83.46061,6922
Sohela,Odisha,21.30153,83.39797,6917
Sarthebari,Assam,26.36293,91.22309,6913
Kilpuduppakkam,Tamil Nadu,12.67981,79.5452,6912
Galiakot,Rajasthan,23.51995,74.02028,6906
Daspalla,Odisha,20.33962,84.84723,6906
Ladrawan,Haryana,28.78662,76.93652,6905
Mansar,Maharashtra,21.39602,79.2635,6901
Balipatapur,Odisha,19.93563,85.49677,6898
Anantapuram,Tamil Nadu,12.11861,79.3822,6892
Kondamanayakkanpatti,Tamil Nadu,11.71028,78.17705,6892
Semarwara,Rajasthan,23.5668,73.7427,6891
